molecule_chembl_id,smiles,mechanism_of_action,target_chembl_id,target_name,action_type,max_phase,pref_name,text_rich
CHEMBL1200906,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1.[Br-],Muscarinic acetylcholine receptor M3 antagonist,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,4,OXYPHENONIUM BROMIDE,Muscarinic acetylcholine receptor M3 antagonist Target: Muscarinic acetylcholine receptor M3. Action: ANTAGONIST. Drug: OXYPHENONIUM BROMIDE.
CHEMBL1724,C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1.[Br-],Muscarinic acetylcholine receptor M3 antagonist,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,4,MEPENZOLATE BROMIDE,Muscarinic acetylcholine receptor M3 antagonist Target: Muscarinic acetylcholine receptor M3. Action: ANTAGONIST. Drug: MEPENZOLATE BROMIDE.
CHEMBL1626570,COS(=O)(=O)[O-].C[N+]1(C)CCN(CC(O)(c2ccccc2)C2CCCCC2)CC1,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,4,HEXOCYCLIUM METHYLSULFATE,Muscarinic acetylcholine receptor M3 antagonist Target: Muscarinic acetylcholine receptor M3. Action: ANTAGONIST. Drug: HEXOCYCLIUM METHYLSULFATE.
CHEMBL1200880,COS(=O)(=O)[O-].C[N+]1(C)CCC(=C(c2ccccc2)c2ccccc2)CC1,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,4,DIPHEMANIL METHYLSULFATE,Muscarinic acetylcholine receptor M3 antagonist Target: Muscarinic acetylcholine receptor M3. Action: ANTAGONIST. Drug: DIPHEMANIL METHYLSULFATE.
CHEMBL1200479,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1.Cl,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,4,DICYCLOMINE HYDROCHLORIDE,Muscarinic acetylcholine receptor M3 antagonist Target: Muscarinic acetylcholine receptor M3. Action: ANTAGONIST. Drug: DICYCLOMINE HYDROCHLORIDE.
CHEMBL1768,CC(C[N+](C)(C)C)OC(N)=O.[Cl-],Muscarinic acetylcholine receptor M3 agonist,CHEMBL245,Muscarinic acetylcholine receptor M3,AGONIST,4,BETHANECHOL CHLORIDE,Muscarinic acetylcholine receptor M3 agonist Target: Muscarinic acetylcholine receptor M3. Action: AGONIST. Drug: BETHANECHOL CHLORIDE.
CHEMBL1578,CCCC(CCC)C(=O)O[C@H]1C[C@H]2CC[C@@H](C1)[N+]2(C)C.[Br-],Muscarinic acetylcholine receptor M3 antagonist,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,4,ANISOTROPINE METHYLBROMIDE,Muscarinic acetylcholine receptor M3 antagonist Target: Muscarinic acetylcholine receptor M3. Action: ANTAGONIST. Drug: ANISOTROPINE METHYLBROMIDE.
CHEMBL2146146,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2.O=S(=O)(O)O,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,4,ATROPINE SULFATE,Muscarinic acetylcholine receptor M3 antagonist Target: Muscarinic acetylcholine receptor M3. Action: ANTAGONIST. Drug: ATROPINE SULFATE.
CHEMBL517712,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,4,ATROPINE,Muscarinic acetylcholine receptor M3 antagonist Target: Muscarinic acetylcholine receptor M3. Action: ANTAGONIST. Drug: ATROPINE.
CHEMBL1200604,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,4,TROPICAMIDE,Muscarinic acetylcholine receptor M3 antagonist Target: Muscarinic acetylcholine receptor M3. Action: ANTAGONIST. Drug: TROPICAMIDE.
CHEMBL1200803,O=C(O)CCC(=O)O.O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,4,SOLIFENACIN SUCCINATE,Muscarinic acetylcholine receptor M3 antagonist Target: Muscarinic acetylcholine receptor M3. Action: ANTAGONIST. Drug: SOLIFENACIN SUCCINATE.
CHEMBL1200935,Br.NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,4,DARIFENACIN HYDROBROMIDE,Muscarinic acetylcholine receptor M3 antagonist Target: Muscarinic acetylcholine receptor M3. Action: ANTAGONIST. Drug: DARIFENACIN HYDROBROMIDE.
CHEMBL551466,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1.[Br-],Muscarinic acetylcholine receptor M3 antagonist,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,4,ACLIDINIUM BROMIDE,Muscarinic acetylcholine receptor M3 antagonist Target: Muscarinic acetylcholine receptor M3. Action: ANTAGONIST. Drug: ACLIDINIUM BROMIDE.
CHEMBL1200764,CC(=O)OC(C)C[N+](C)(C)C.[Cl-],Muscarinic acetylcholine receptor M3 agonist,CHEMBL245,Muscarinic acetylcholine receptor M3,AGONIST,4,METHACHOLINE CHLORIDE,Muscarinic acetylcholine receptor M3 agonist Target: Muscarinic acetylcholine receptor M3. Action: AGONIST. Drug: METHACHOLINE CHLORIDE.
CHEMBL3545181,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@H]1[C@@H]1O[C@@H]12.O.[Br-],Muscarinic acetylcholine receptor M3 antagonist,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,4,TIOTROPIUM BROMIDE,Muscarinic acetylcholine receptor M3 antagonist Target: Muscarinic acetylcholine receptor M3. Action: ANTAGONIST. Drug: TIOTROPIUM BROMIDE.
CHEMBL1201765,CC(C)C(=O)Oc1ccc(CO)cc1[C@H](CCN(C(C)C)C(C)C)c1ccccc1.O=C(O)/C=C/C(=O)O,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,4,FESOTERODINE FUMARATE,Muscarinic acetylcholine receptor M3 antagonist Target: Muscarinic acetylcholine receptor M3. Action: ANTAGONIST. Drug: FESOTERODINE FUMARATE.
CHEMBL1200473,CN(C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1.Cl,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,4,CYCLOPENTOLATE HYDROCHLORIDE,Muscarinic acetylcholine receptor M3 antagonist Target: Muscarinic acetylcholine receptor M3. Action: ANTAGONIST. Drug: CYCLOPENTOLATE HYDROCHLORIDE.
CHEMBL1184,CC(=O)OCC[N+](C)(C)C.[Cl-],Muscarinic acetylcholine receptor M3 agonist,CHEMBL245,Muscarinic acetylcholine receptor M3,AGONIST,4,ACETYLCHOLINE CHLORIDE,Muscarinic acetylcholine receptor M3 agonist Target: Muscarinic acetylcholine receptor M3. Action: AGONIST. Drug: ACETYLCHOLINE CHLORIDE.
CHEMBL14,C[N+](C)(C)CCOC(N)=O.[Cl-],Muscarinic acetylcholine receptor M3 agonist,CHEMBL245,Muscarinic acetylcholine receptor M3,AGONIST,4,CARBACHOL,Muscarinic acetylcholine receptor M3 agonist Target: Muscarinic acetylcholine receptor M3. Action: AGONIST. Drug: CARBACHOL.
CHEMBL550,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,Muscarinic acetylcholine receptor M3 agonist,CHEMBL245,Muscarinic acetylcholine receptor M3,AGONIST,4,PILOCARPINE,Muscarinic acetylcholine receptor M3 agonist Target: Muscarinic acetylcholine receptor M3. Action: AGONIST. Drug: PILOCARPINE.
CHEMBL1200330,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C.Cl,Muscarinic acetylcholine receptor M3 agonist,CHEMBL245,Muscarinic acetylcholine receptor M3,AGONIST,4,PILOCARPINE HYDROCHLORIDE,Muscarinic acetylcholine receptor M3 agonist Target: Muscarinic acetylcholine receptor M3. Action: AGONIST. Drug: PILOCARPINE HYDROCHLORIDE.
CHEMBL2218917,CC1OC2(CS1)CN1CCC2CC1.Cl.O,Muscarinic acetylcholine receptor M3 agonist,CHEMBL245,Muscarinic acetylcholine receptor M3,AGONIST,4,CEVIMELINE HYDROCHLORIDE,Muscarinic acetylcholine receptor M3 agonist Target: Muscarinic acetylcholine receptor M3. Action: AGONIST. Drug: CEVIMELINE HYDROCHLORIDE.
CHEMBL1200950,C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2.[Br-],Muscarinic acetylcholine receptor M3 antagonist,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,4,CLIDINIUM BROMIDE,Muscarinic acetylcholine receptor M3 antagonist Target: Muscarinic acetylcholine receptor M3. Action: ANTAGONIST. Drug: CLIDINIUM BROMIDE.
CHEMBL2134724,CC(C)[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2.O.[Br-],Muscarinic acetylcholine receptor M3 antagonist,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,4,IPRATROPIUM BROMIDE,Muscarinic acetylcholine receptor M3 antagonist Target: Muscarinic acetylcholine receptor M3. Action: ANTAGONIST. Drug: IPRATROPIUM BROMIDE.
CHEMBL1354199,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12.[Br-],Muscarinic acetylcholine receptor M3 antagonist,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,4,METHSCOPOLAMINE BROMIDE,Muscarinic acetylcholine receptor M3 antagonist Target: Muscarinic acetylcholine receptor M3. Action: ANTAGONIST. Drug: METHSCOPOLAMINE BROMIDE.
CHEMBL1231,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,4,OXYBUTYNIN,Muscarinic acetylcholine receptor M3 antagonist Target: Muscarinic acetylcholine receptor M3. Action: ANTAGONIST. Drug: OXYBUTYNIN.
CHEMBL1133,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1.Cl,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,4,OXYBUTYNIN CHLORIDE,Muscarinic acetylcholine receptor M3 antagonist Target: Muscarinic acetylcholine receptor M3. Action: ANTAGONIST. Drug: OXYBUTYNIN CHLORIDE.
CHEMBL1200891,CN1CCCN=C1COC(=O)C(O)(c1ccccc1)C1CCCCC1.Cl,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,4,OXYPHENCYCLIMINE HYDROCHLORIDE,Muscarinic acetylcholine receptor M3 antagonist Target: Muscarinic acetylcholine receptor M3. Action: ANTAGONIST. Drug: OXYPHENCYCLIMINE HYDROCHLORIDE.
CHEMBL1201027,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1.[Br-],Muscarinic acetylcholine receptor M3 antagonist,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,4,GLYCOPYRRONIUM BROMIDE,Muscarinic acetylcholine receptor M3 antagonist Target: Muscarinic acetylcholine receptor M3. Action: ANTAGONIST. Drug: GLYCOPYRRONIUM BROMIDE.
CHEMBL1200347,CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C.[I-],Muscarinic acetylcholine receptor M3 antagonist,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,4,ISOPROPAMIDE IODIDE,Muscarinic acetylcholine receptor M3 antagonist Target: Muscarinic acetylcholine receptor M3. Action: ANTAGONIST. Drug: ISOPROPAMIDE IODIDE.
CHEMBL3084748,O=C(O[C@H]1C[C@H]2CC[C@@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1.[Cl-],Muscarinic acetylcholine receptor M3 antagonist,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,4,TROSPIUM CHLORIDE,Muscarinic acetylcholine receptor M3 antagonist Target: Muscarinic acetylcholine receptor M3. Action: ANTAGONIST. Drug: TROSPIUM CHLORIDE.
CHEMBL3989514,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC.Cl.O.O.O,DNA topoisomerase I inhibitor,CHEMBL1781,DNA topoisomerase 1,INHIBITOR,4,IRINOTECAN HYDROCHLORIDE,DNA topoisomerase I inhibitor Target: DNA topoisomerase 1. Action: INHIBITOR. Drug: IRINOTECAN HYDROCHLORIDE.
CHEMBL4084119,CCCCCCCCCCCCCCCC(=O)N[C@@H](CCC(=O)NCCCC[C@H](NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@@H](N)Cc1cnc[nH]1)[C@@H](C)O)[C@@H](C)O)C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)O)C(C)C)[C@@H](C)CC)C(=O)O,Glucagon-like peptide 1 receptor agonist,CHEMBL1784,Glucagon-like peptide 1 receptor,AGONIST,4,LIRAGLUTIDE,Glucagon-like peptide 1 receptor agonist Target: Glucagon-like peptide 1 receptor. Action: AGONIST. Drug: LIRAGLUTIDE.
CHEMBL414357,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@@H](N)Cc1cnc[nH]1)[C@@H](C)O)[C@@H](C)O)C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(=O)NCC(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(N)=O,Glucagon-like peptide 1 receptor agonist,CHEMBL1784,Glucagon-like peptide 1 receptor,AGONIST,4,EXENATIDE,Glucagon-like peptide 1 receptor agonist Target: Glucagon-like peptide 1 receptor. Action: AGONIST. Drug: EXENATIDE.
CHEMBL1200826,O=C([O-])[O-].[Li+].[Li+],Inositol-1(or 4)-monophosphatase 1 inhibitor,CHEMBL1786,Inositol monophosphatase 1,INHIBITOR,4,LITHIUM CARBONATE,Inositol-1(or 4)-monophosphatase 1 inhibitor Target: Inositol monophosphatase 1. Action: INHIBITOR. Drug: LITHIUM CARBONATE.
CHEMBL2103738,O.O.O.O.O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],Inositol-1(or 4)-monophosphatase 1 inhibitor,CHEMBL1786,Inositol monophosphatase 1,INHIBITOR,4,LITHIUM CITRATE,Inositol-1(or 4)-monophosphatase 1 inhibitor Target: Inositol monophosphatase 1. Action: INHIBITOR. Drug: LITHIUM CITRATE.
CHEMBL344159,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,Vasopressin V2 receptor antagonist,CHEMBL1790,Vasopressin V2 receptor,ANTAGONIST,4,TOLVAPTAN,Vasopressin V2 receptor antagonist Target: Vasopressin V2 receptor. Action: ANTAGONIST. Drug: TOLVAPTAN.
CHEMBL1201108,Cc1nc2c([nH]1)-c1ccccc1N(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)CC2.Cl,Vasopressin V2 receptor antagonist,CHEMBL1790,Vasopressin V2 receptor,ANTAGONIST,4,CONIVAPTAN HYDROCHLORIDE,Vasopressin V2 receptor antagonist Target: Vasopressin V2 receptor. Action: ANTAGONIST. Drug: CONIVAPTAN HYDROCHLORIDE.
CHEMBL5314380,NCCCC[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](c2ccccc2)NC(=O)[C@@H]2C[C@@H](OC(=O)NCCN)CN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccc(OCc3ccccc3)cc2)NC1=O.N[C@@H](CC(=O)O)C(=O)O.N[C@@H](CC(=O)O)C(=O)O,Somatostatin receptor 5 agonist,CHEMBL1792,Somatostatin receptor type 5,AGONIST,4,PASIREOTIDE DIASPARTATE,Somatostatin receptor 5 agonist Target: Somatostatin receptor type 5. Action: AGONIST. Drug: PASIREOTIDE DIASPARTATE.
CHEMBL1201184,CC(=O)O.CC(C)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](NC(=O)[C@H](N)Cc2ccc3ccccc3c2)CSSC[C@@H](C(=O)N[C@H](C(N)=O)[C@@H](C)O)NC1=O,Somatostatin receptor 5 agonist,CHEMBL1792,Somatostatin receptor type 5,AGONIST,4,LANREOTIDE ACETATE,Somatostatin receptor 5 agonist Target: Somatostatin receptor type 5. Action: AGONIST. Drug: LANREOTIDE ACETATE.
CHEMBL525610,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H](N)CO)C(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(C)C)C(C)C,Parathyroid hormone receptor agonist,CHEMBL1793,Parathyroid hormone/parathyroid hormone-related peptide receptor,AGONIST,4,TERIPARATIDE,Parathyroid hormone receptor agonist Target: Parathyroid hormone/parathyroid hormone-related peptide receptor. Action: AGONIST. Drug: TERIPARATIDE.
CHEMBL175247,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,Gastric lipase inhibitor,CHEMBL1796,Gastric triacylglycerol lipase,INHIBITOR,4,ORLISTAT,Gastric lipase inhibitor Target: Gastric triacylglycerol lipase. Action: INHIBITOR. Drug: ORLISTAT.
CHEMBL603,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,Cysteinyl leukotriene receptor 1 antagonist,CHEMBL1798,Cysteinyl leukotriene receptor 1,ANTAGONIST,4,ZAFIRLUKAST,Cysteinyl leukotriene receptor 1 antagonist Target: Cysteinyl leukotriene receptor 1. Action: ANTAGONIST. Drug: ZAFIRLUKAST.
CHEMBL1200681,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)[O-])CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1.[Na+],Cysteinyl leukotriene receptor 1 antagonist,CHEMBL1798,Cysteinyl leukotriene receptor 1,ANTAGONIST,4,MONTELUKAST SODIUM,Cysteinyl leukotriene receptor 1 antagonist Target: Cysteinyl leukotriene receptor 1. Action: ANTAGONIST. Drug: MONTELUKAST SODIUM.
CHEMBL1615369,CCCCCCOC(=O)NC(=N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1.CS(=O)(=O)O,Thrombin inhibitor,CHEMBL204,Prothrombin,INHIBITOR,4,DABIGATRAN ETEXILATE MESYLATE,Thrombin inhibitor Target: Prothrombin. Action: INHIBITOR. Drug: DABIGATRAN ETEXILATE MESYLATE.
CHEMBL1166,CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1,Thrombin inhibitor,CHEMBL204,Prothrombin,INHIBITOR,4,ARGATROBAN,Thrombin inhibitor Target: Prothrombin. Action: INHIBITOR. Drug: ARGATROBAN.
CHEMBL877,NC[C@H]1CC[C@H](C(=O)O)CC1,Plasminogen inhibitor,CHEMBL1801,Plasminogen,INHIBITOR,4,TRANEXAMIC ACID,Plasminogen inhibitor Target: Plasminogen. Action: INHIBITOR. Drug: TRANEXAMIC ACID.
CHEMBL1046,NCCCCCC(=O)O,Plasminogen inhibitor,CHEMBL1801,Plasminogen,INHIBITOR,4,AMINOCAPROIC ACID,Plasminogen inhibitor Target: Plasminogen. Action: INHIBITOR. Drug: AMINOCAPROIC ACID.
CHEMBL220491,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,Carbonic anhydrase II inhibitor,CHEMBL205,Carbonic anhydrase 2,INHIBITOR,4,BRINZOLAMIDE,Carbonic anhydrase II inhibitor Target: Carbonic anhydrase 2. Action: INHIBITOR. Drug: BRINZOLAMIDE.
